time,tweet_id,tweet_text,user_id,location,followers,retweets,country_code,coordinates
Fri Apr 03 23:45:00 +0000 2020,1246222199633203200,ivermectina aún en estudio httpstcojkwkleuzy6,888938190,"Santiago, Metropolitana de Santiago",134,0,CL,"[[[-70.6243463, -33.5101485], [-70.5780912, -33.5101485], [-70.5780912, -33.4697454], [-70.6243463, -33.4697454]]]"
Sat Apr 04 01:02:17 +0000 2020,1246241648893464600,gisellemontes18 dearsensseman busca esto ivermectin según estudios australianos confirman que esté medicamento quita el coronavirus en 48 horas gisellemontes18 háganlo viral,1243701399797616600,"Puebla, México",0,0,MX,"[[[-98.289206, 18.83765], [-98.019327, 18.83765], [-98.019327, 19.226809], [-98.289206, 19.226809]]]"
Sat Apr 04 01:00:12 +0000 2020,1246241124458602500,debryanshow itsgrecia busquen ivermectin según estudios australianos confirman que esté medicamento quita el coronavirus debryanshow retwittear por favor que se haga viral para que acabe la cuarentena y mayor aún que se resguarde la salud,1243701399797616600,"Puebla, México",0,0,MX,"[[[-98.289206, 18.83765], [-98.019327, 18.83765], [-98.019327, 19.226809], [-98.289206, 19.226809]]]"
Sat Apr 04 04:07:49 +0000 2020,1246288336530157600,ivermectina el fármaco que acaba con el coronavirus en 48 horas  tikitakas httpstco6fewjxvctu,246853720,Bogota - Manizales,736,0,CO,"[[[-75.729870997496, 4.96440200361095], [-75.3906989972614, 4.96440200361095], [-75.3906989972614, 5.1494659989949], [-75.729870997496, 5.1494659989949]]]"
Sat Apr 04 11:47:09 +0000 2020,1246403934559907800,🔴atención  descubren un fármaco que podría acabar con el coronavirus en 48 horas científicos australianos han realizado una investigación con ivermectin un medicamento para tratar otras enfermedades y que podría ser la cura    httpstconrfybtaqys httpstcoxtpswx0sdk,161171006,+584143227648 Venezuela. ,8457,38,VE,"[[[-66.8972931, 10.4268198], [-66.8206344, 10.4268198], [-66.8206344, 10.489041], [-66.8972931, 10.489041]]]"
Sat Apr 04 15:07:48 +0000 2020,1246454429886414800,el antiparasitario ivermectin como posible inhibidor del sarscov2 covid19 in vitro una dosis puede reducir hasta 5000 veces la carga viral en 48 horas ivermectin está aprobada por la fda y esta disponible en todo el mundo httpstcorqdh45m4rq httpstcoxjkxlogt5t,182178209,"Quito, Ecuador",436,23,EC,"[[[-78.4846040045693, -0.50722799915256], [-78.394004002928, -0.50722799915256], [-78.394004002928, -0.291005999925484], [-78.4846040045693, -0.291005999925484]]]"
Sat Apr 04 15:17:43 +0000 2020,1246456925719494700,si esto llega a buen curso es un notición porque los que estamos con ongs animaleras siempre tenemos ivermectina porque sirve para todo 🙏 httpstcoxyixpwnbxa,14237093,"Miramar, Argentina",2254,0,AR,"[[[-57.876017, -38.286956], [-57.7791862, -38.286956], [-57.7791862, -38.2197698], [-57.876017, -38.2197698]]]"
Sat Apr 04 16:45:18 +0000 2020,1246478966107537400,la ivermectina es un antiparasitario que en nuestro país se la utilizó para el tratamiento de la oncocercosis que afectaba sobre todo al norte de esmeraldas no se debe dar publicidad ya que no hay suficiente estudio científico para el tratamiento de esta virosis httpstco8xide3offz,881609437080891400,,237,1,EC,"[[[-78.948465999276, -0.588618000469648], [-78.1648970044175, -0.588618000469648], [-78.1648970044175, 0.255476999458879], [-78.948465999276, 0.255476999458879]]]"
Sat Apr 04 18:49:00 +0000 2020,1246510097066602500,‼️ 👉🏾ahora pregunto se van a abstener de utilizar la ivermectina  los acólitos de la carne orgánica como si hacen de la carne con “agrotóxicos”  deberíantendrían una muerte digna 👇🏽 fármaco antiparasitario podría eliminar al coronavirus en 48 hs httpstcomvhywdq0yu,709169010072547300,"Pergamino, Argentina",3406,2,AR,"[[[-60.599908, -33.928113], [-60.5319859, -33.928113], [-60.5319859, -33.8633824], [-60.599908, -33.8633824]]]"
Sat Apr 04 23:18:39 +0000 2020,1246577955997986800,cuando arranco la pandemia se lo dije a mis amigos 1cm de ivermectina y santo remedio muy lejos no andaba 😂 httpstco9sm9ed9rgs,3431816505,"Lavalleja, Uruguay",2156,1,UY,"[[[-55.631663, -34.648355], [-54.127397, -34.648355], [-54.127397, -33.319044], [-55.631663, -33.319044]]]"
